time;model_id;model_name;port_name;data
0;1;c1;;<100,1,0,0>
0;2;c2;;<200,1,0,0>
0;3;c3;;<200,0.9,0.1,0>
0;1;c1;outputNeighborhood;<100,1,0,0>
0;1;c1;;<100,0.984,0.016,0>
0;2;c2;outputNeighborhood;<200,1,0,0>
0;2;c2;;<200,0.996,0.004,0>
0;3;c3;outputNeighborhood;<200,0.9,0.1,0>
0;3;c3;;<200,0.871,0.109,0.02>
1;1;c1;outputNeighborhood;<100,0.984,0.016,0>
1;1;c1;;<100,0.961,0.036,0.003>
1;2;c2;outputNeighborhood;<200,0.996,0.004,0>
1;2;c2;;<200,0.99,0.009,0.001>
1;3;c3;outputNeighborhood;<200,0.871,0.109,0.02>
1;3;c3;;<200,0.84,0.118,0.042>
2;1;c1;outputNeighborhood;<100,0.961,0.036,0.003>
2;1;c1;;<100,0.931,0.059,0.01>
2;2;c2;outputNeighborhood;<200,0.99,0.009,0.001>
2;2;c2;;<200,0.982,0.015,0.003>
2;3;c3;outputNeighborhood;<200,0.84,0.118,0.042>
2;3;c3;;<200,0.807,0.127,0.066>
3;1;c1;outputNeighborhood;<100,0.931,0.059,0.01>
3;1;c1;;<100,0.892,0.086,0.022>
3;2;c2;outputNeighborhood;<200,0.982,0.015,0.003>
3;2;c2;;<200,0.971,0.023,0.006>
3;3;c3;outputNeighborhood;<200,0.807,0.127,0.066>
3;3;c3;;<200,0.773,0.136,0.091>
4;1;c1;outputNeighborhood;<100,0.892,0.086,0.022>
4;1;c1;;<100,0.845,0.116,0.039>
4;2;c2;outputNeighborhood;<200,0.971,0.023,0.006>
4;2;c2;;<200,0.957,0.032,0.011>
4;3;c3;outputNeighborhood;<200,0.773,0.136,0.091>
4;3;c3;;<200,0.738,0.144,0.118>
5;1;c1;outputNeighborhood;<100,0.845,0.116,0.039>
5;1;c1;;<100,0.79,0.148,0.062>
5;2;c2;outputNeighborhood;<200,0.957,0.032,0.011>
5;2;c2;;<200,0.94,0.043,0.017>
5;3;c3;outputNeighborhood;<200,0.738,0.144,0.118>
5;3;c3;;<200,0.701,0.152,0.147>
6;1;c1;outputNeighborhood;<100,0.79,0.148,0.062>
6;1;c1;;<100,0.728,0.18,0.092>
6;2;c2;outputNeighborhood;<200,0.94,0.043,0.017>
6;2;c2;;<200,0.918,0.056,0.026>
6;3;c3;outputNeighborhood;<200,0.701,0.152,0.147>
6;3;c3;;<200,0.664,0.159,0.177>
7;1;c1;outputNeighborhood;<100,0.728,0.18,0.092>
7;1;c1;;<100,0.661,0.211,0.128>
7;2;c2;outputNeighborhood;<200,0.918,0.056,0.026>
7;2;c2;;<200,0.893,0.07,0.037>
7;3;c3;outputNeighborhood;<200,0.664,0.159,0.177>
7;3;c3;;<200,0.626,0.165,0.209>
8;1;c1;outputNeighborhood;<100,0.661,0.211,0.128>
8;1;c1;;<100,0.592,0.238,0.17>
8;2;c2;outputNeighborhood;<200,0.893,0.07,0.037>
8;2;c2;;<200,0.863,0.086,0.051>
8;3;c3;outputNeighborhood;<200,0.626,0.165,0.209>
8;3;c3;;<200,0.589,0.169,0.242>
9;1;c1;outputNeighborhood;<100,0.592,0.238,0.17>
9;1;c1;;<100,0.522,0.26,0.218>
9;2;c2;outputNeighborhood;<200,0.863,0.086,0.051>
9;2;c2;;<200,0.83,0.102,0.068>
9;3;c3;outputNeighborhood;<200,0.589,0.169,0.242>
9;3;c3;;<200,0.552,0.172,0.276>
10;1;c1;outputNeighborhood;<100,0.522,0.26,0.218>
10;1;c1;;<100,0.456,0.274,0.27>
10;2;c2;outputNeighborhood;<200,0.83,0.102,0.068>
10;2;c2;;<200,0.793,0.119,0.088>
10;3;c3;outputNeighborhood;<200,0.552,0.172,0.276>
10;3;c3;;<200,0.517,0.173,0.31>
11;1;c1;outputNeighborhood;<100,0.456,0.274,0.27>
11;1;c1;;<100,0.395,0.28,0.325>
11;2;c2;outputNeighborhood;<200,0.793,0.119,0.088>
11;2;c2;;<200,0.753,0.135,0.112>
11;3;c3;outputNeighborhood;<200,0.517,0.173,0.31>
11;3;c3;;<200,0.483,0.172,0.345>
12;1;c1;outputNeighborhood;<100,0.395,0.28,0.325>
12;1;c1;;<100,0.34,0.279,0.381>
12;2;c2;outputNeighborhood;<200,0.753,0.135,0.112>
12;2;c2;;<200,0.711,0.15,0.139>
12;3;c3;outputNeighborhood;<200,0.483,0.172,0.345>
12;3;c3;;<200,0.452,0.169,0.379>
13;1;c1;outputNeighborhood;<100,0.34,0.279,0.381>
13;1;c1;;<100,0.292,0.271,0.437>
13;2;c2;outputNeighborhood;<200,0.711,0.15,0.139>
13;2;c2;;<200,0.668,0.163,0.169>
13;3;c3;outputNeighborhood;<200,0.452,0.169,0.379>
13;3;c3;;<200,0.422,0.165,0.413>
14;1;c1;outputNeighborhood;<100,0.292,0.271,0.437>
14;1;c1;;<100,0.252,0.257,0.491>
14;2;c2;outputNeighborhood;<200,0.668,0.163,0.169>
14;2;c2;;<200,0.625,0.173,0.202>
14;3;c3;outputNeighborhood;<200,0.422,0.165,0.413>
14;3;c3;;<200,0.395,0.159,0.446>
15;1;c1;outputNeighborhood;<100,0.252,0.257,0.491>
15;1;c1;;<100,0.218,0.24,0.542>
15;2;c2;outputNeighborhood;<200,0.625,0.173,0.202>
15;2;c2;;<200,0.583,0.18,0.237>
