time;model_id;model_name;port_name;data
0;1;(73,75);;<0>
0;2;(66,75);;<0>
0;3;(64,75);;<0>
0;4;(63,75);;<0>
0;5;(62,75);;<0>
0;6;(61,75);;<0>
0;7;(60,75);;<0>
0;8;(56,75);;<0>
0;9;(54,75);;<0>
0;10;(51,75);;<0>
0;11;(47,75);;<0>
0;12;(43,75);;<0>
0;13;(39,75);;<0>
0;14;(38,75);;<0>
0;15;(37,75);;<0>
0;16;(35,75);;<0>
0;17;(29,75);;<0>
0;18;(28,75);;<0>
0;19;(23,75);;<0>
0;20;(14,75);;<0>
0;21;(13,75);;<0>
0;22;(10,75);;<0>
0;23;(9,75);;<0>
0;24;(7,75);;<0>
0;25;(2,75);;<0>
0;26;(1,75);;<0>
0;27;(0,75);;<0>
0;28;(-1,75);;<0>
0;29;(-2,75);;<0>
0;30;(-5,75);;<0>
0;31;(-6,75);;<0>
0;32;(-8,75);;<0>
0;33;(-11,75);;<0>
0;34;(-16,75);;<0>
0;35;(-17,75);;<0>
0;36;(-18,75);;<0>
0;37;(-19,75);;<0>
0;38;(-22,75);;<0>
0;39;(-24,75);;<0>
0;40;(73,74);;<0>
0;41;(71,74);;<0>
0;42;(70,74);;<0>
0;43;(69,74);;<0>
0;44;(68,74);;<0>
0;45;(30,75);;<0>
0;46;(66,74);;<0>
0;47;(64,74);;<0>
0;48;(57,74);;<0>
0;49;(55,74);;<0>
0;50;(52,74);;<0>
0;51;(51,74);;<0>
0;52;(41,74);;<0>
0;53;(38,74);;<0>
0;54;(35,74);;<0>
0;55;(30,74);;<0>
0;56;(26,74);;<0>
0;57;(72,75);;<0>
0;58;(22,74);;<0>
0;59;(63,74);;<0>
0;60;(20,74);;<0>
0;61;(10,74);;<0>
0;62;(8,74);;<0>
0;63;(6,74);;<0>
0;64;(5,74);;<0>
0;65;(4,74);;<0>
0;66;(2,74);;<0>
0;67;(-3,74);;<0>
0;68;(-4,74);;<0>
0;69;(-7,74);;<0>
0;70;(-11,74);;<0>
0;71;(-13,74);;<0>
0;72;(-18,74);;<0>
0;73;(71,73);;<0>
0;74;(68,73);;<0>
0;75;(61,73);;<0>
0;76;(57,73);;<0>
0;77;(56,73);;<0>
0;78;(51,73);;<0>
0;79;(47,73);;<0>
0;80;(42,73);;<0>
0;81;(38,73);;<0>
0;82;(-15,74);;<0>
0;83;(37,73);;<0>
0;84;(35,73);;<0>
0;85;(33,73);;<0>
0;86;(32,73);;<0>
0;87;(31,73);;<0>
0;88;(25,73);;<0>
0;89;(22,73);;<0>
0;90;(18,73);;<0>
0;91;(12,73);;<0>
0;92;(5,73);;<0>
0;93;(4,73);;<0>
0;94;(1,73);;<0>
0;95;(-2,73);;<0>
0;96;(-3,73);;<0>
0;97;(-8,73);;<0>
0;98;(-12,73);;<0>
0;99;(-13,73);;<0>
0;100;(-14,73);;<0>
0;101;(39,74);;<0>
0;102;(-18,73);;<0>
0;103;(70,72);;<0>
0;104;(68,72);;<0>
0;105;(67,72);;<0>
0;106;(65,72);;<0>
0;107;(63,72);;<0>
0;108;(62,72);;<0>
0;109;(59,72);;<0>
0;110;(58,72);;<0>
0;111;(54,72);;<0>
0;112;(52,72);;<0>
0;113;(51,72);;<0>
0;114;(49,72);;<0>
0;115;(46,72);;<0>
0;116;(34,74);;<0>
0;117;(45,72);;<0>
0;118;(44,72);;<0>
0;119;(42,72);;<0>
0;120;(39,72);;<0>
0;121;(37,72);;<0>
0;122;(32,72);;<0>
0;123;(30,72);;<0>
0;124;(28,72);;<0>
0;125;(27,72);;<0>
0;126;(24,72);;<0>
0;127;(22,72);;<0>
0;128;(19,72);;<0>
0;129;(16,72);;<0>
0;130;(14,72);;<0>
0;131;(13,72);;<0>
0;132;(9,72);;<0>
0;133;(8,72);;<0>
0;134;(-4,72);;<0>
0;135;(-5,72);;<0>
0;136;(-7,72);;<0>
0;137;(-9,72);;<0>
0;138;(-13,72);;<0>
0;139;(-14,72);;<0>
0;140;(-19,72);;<0>
0;141;(-20,72);;<0>
0;142;(-23,72);;<0>
0;143;(-24,72);;<0>
0;144;(75,71);;<0>
0;145;(72,71);;<0>
0;146;(71,71);;<0>
0;147;(67,71);;<0>
0;148;(65,71);;<0>
0;149;(60,71);;<0>
0;150;(58,71);;<0>
0;151;(57,71);;<0>
0;152;(56,71);;<0>
0;153;(55,71);;<0>
0;154;(54,71);;<0>
0;155;(52,71);;<0>
0;156;(49,71);;<0>
0;157;(45,71);;<0>
0;158;(41,71);;<0>
0;159;(39,71);;<0>
0;160;(38,71);;<0>
0;161;(36,71);;<0>
0;162;(33,71);;<0>
0;163;(32,71);;<0>
0;164;(29,71);;<0>
0;165;(27,71);;<0>
0;166;(26,71);;<0>
0;167;(22,71);;<0>
0;168;(16,71);;<0>
0;169;(15,71);;<0>
0;170;(13,71);;<0>
0;171;(11,71);;<0>
0;172;(6,71);;<0>
0;173;(5,71);;<0>
0;174;(4,71);;<0>
0;175;(0,71);;<0>
0;176;(-2,71);;<0>
0;177;(-3,71);;<0>
0;178;(-4,71);;<0>
0;179;(-9,71);;<0>
0;180;(-10,71);;<0>
0;181;(-12,71);;<0>
0;182;(-18,71);;<0>
0;183;(-20,71);;<0>
0;184;(-21,71);;<0>
0;185;(-21,72);;<0>
0;186;(-22,71);;<0>
0;187;(-23,71);;<0>
0;188;(69,70);;<0>
0;189;(68,70);;<0>
0;190;(65,70);;<0>
0;191;(61,70);;<0>
0;192;(58,70);;<0>
0;193;(57,70);;<0>
0;194;(56,70);;<0>
0;195;(55,70);;<0>
0;196;(53,70);;<0>
0;197;(48,70);;<0>
0;198;(45,70);;<0>
0;199;(43,70);;<0>
0;200;(41,70);;<0>
0;201;(38,70);;<0>
0;202;(36,70);;<0>
0;203;(35,70);;<0>
0;204;(31,70);;<0>
0;205;(25,70);;<0>
0;206;(24,70);;<0>
0;207;(21,70);;<0>
0;208;(19,70);;<0>
0;209;(17,70);;<0>
0;210;(15,70);;<0>
0;211;(-10,75);;<0>
0;212;(14,70);;<0>
0;213;(12,70);;<0>
0;214;(9,70);;<0>
0;215;(7,70);;<0>
0;216;(6,70);;<0>
0;217;(5,70);;<0>
0;218;(2,70);;<0>
0;219;(1,70);;<0>
0;220;(-1,70);;<0>
0;221;(-9,70);;<0>
0;222;(-11,70);;<0>
0;223;(-12,70);;<0>
0;224;(-13,70);;<0>
0;225;(-15,70);;<0>
0;226;(-17,70);;<0>
0;227;(-24,70);;<0>
0;228;(75,69);;<0>
0;229;(71,69);;<0>
0;230;(70,69);;<0>
0;231;(66,69);;<0>
0;232;(64,69);;<0>
0;233;(63,69);;<0>
0;234;(61,69);;<0>
0;235;(54,69);;<0>
0;236;(52,69);;<0>
0;237;(51,69);;<0>
0;238;(47,69);;<0>
0;239;(44,69);;<0>
0;240;(42,69);;<0>
0;241;(40,69);;<0>
0;242;(37,69);;<0>
0;243;(36,69);;<0>
0;244;(34,69);;<0>
0;245;(28,69);;<0>
0;246;(27,69);;<0>
0;247;(26,69);;<0>
0;248;(21,69);;<0>
0;249;(18,69);;<0>
0;250;(16,69);;<0>
0;251;(15,69);;<0>
0;252;(10,69);;<0>
0;253;(9,69);;<0>
0;254;(6,69);;<0>
0;255;(3,69);;<0>
0;256;(-1,69);;<0>
0;257;(-5,69);;<0>
0;258;(-8,69);;<0>
0;259;(-11,69);;<0>
0;260;(-12,69);;<0>
0;261;(-14,69);;<0>
0;262;(-15,69);;<0>
0;263;(-16,69);;<0>
0;264;(-17,69);;<0>
0;265;(-20,69);;<0>
0;266;(-6,73);;<0>
0;267;(-22,69);;<0>
0;268;(-23,69);;<0>
0;269;(73,68);;<0>
0;270;(71,68);;<0>
0;271;(70,68);;<0>
0;272;(67,68);;<0>
0;273;(65,68);;<0>
0;274;(63,68);;<0>
0;275;(62,68);;<0>
0;276;(61,68);;<0>
0;277;(58,68);;<0>
0;278;(57,68);;<0>
0;279;(55,68);;<0>
0;280;(53,68);;<0>
0;281;(51,68);;<0>
0;282;(49,68);;<0>
0;283;(48,68);;<0>
0;284;(47,68);;<0>
0;285;(42,70);;<0>
0;286;(44,68);;<0>
0;287;(43,68);;<0>
0;288;(40,68);;<0>
0;289;(38,68);;<0>
0;290;(36,68);;<0>
0;291;(-23,74);;<0>
0;292;(35,68);;<0>
0;293;(32,68);;<0>
0;294;(31,68);;<0>
0;295;(30,68);;<0>
0;296;(29,68);;<0>
0;297;(28,68);;<0>
0;298;(26,68);;<0>
0;299;(24,68);;<0>
0;300;(23,68);;<0>
0;301;(22,68);;<0>
0;302;(21,68);;<0>
0;303;(18,68);;<0>
0;304;(17,68);;<0>
0;305;(15,68);;<0>
0;306;(12,68);;<0>
0;307;(72,68);;<0>
0;308;(8,68);;<0>
0;309;(4,68);;<0>
0;310;(2,68);;<0>
0;311;(1,68);;<0>
0;312;(0,68);;<0>
0;313;(-1,68);;<0>
0;314;(-3,68);;<0>
0;315;(-5,68);;<0>
0;316;(-6,68);;<0>
0;317;(-7,68);;<0>
0;318;(-9,68);;<0>
0;319;(11,68);;<0>
0;320;(-12,68);;<0>
0;321;(33,69);;<0>
0;322;(-17,68);;<0>
0;323;(-18,68);;<0>
0;324;(-24,68);;<0>
0;325;(73,67);;<0>
0;326;(68,67);;<0>
0;327;(64,67);;<0>
0;328;(62,67);;<0>
